Organ zgłaszający;Usługa pobierania ▴
Prezydent Miasta Jastrzębie-Zdrój;https://jastrzebie.geoportal2.pl/map/geoportal/wfs.php
Starosta Jasielski;https://jasielski-wms.webewid.pl/iip/ows
Starosta Powiatu Jarosławskiego;https://jaroslawski-wms.webewid.pl/iip/ows
Starosta Janowski;https://janow.geoportal2.pl/map/geoportal/wfs.php
Prezydent Wrocławia;https://iwms.zgkikm.wroc.pl/wroclaw-egib
Prezydent Bytomia;https://iwms.um.bytom.pl/bytom-egib
Starosta Powiatu Inowrocławskiego;https://inowroclawski-wms.webewid.pl/iip/ows
Starosta Wodzisławski;https://imapa.powiatwodzislawski.pl/wodzislaw-egib
Starosta Myszkowski;https://imapa.powiatmyszkowski.pl/myszkow-egib
Starosta Gostyński;https://imapa.powiat.gostyn.pl/gostyn-egib
Starosta Powiatu Grodziskiego;https://imapa.podgik-grodziskm.pl/grodziski-egib
Prezydent Miasta Leszna;https://imapa.leszno.pl/mleszno-egib
Starosta Powiatu Brzeskiego;https://imapa.brzeg-powiat.pl/brzeg-egib
Starosta Powiatu Iławskiego;https://ilawa.geoportal2.pl/map/geoportal/wfs.php
Starosta Stargardzki;https://ikerg2.powiatstargardzki.eu/stargard-egib
Starosta Prudnicki;https://ikerg2.powiatprudnicki.pl/prudnik-egib
Starosta Złotowski;https://ikerg.zlotow-powiat.pl/zlotow-egib
Starosta Zawierciański;https://ikerg.zawiercie.powiat.pl/powiatzawiercianski-egib
Starosta Wągrowiecki;https://ikerg.wagrowiec.pl/wagrowiec-egib
Prezydent Miasta Kalisza;https://ikerg.um.kalisz.pl/kalisz-egib
Starosta Kolski;https://ikerg.starostwokolskie.pl/powiatkolski-egib
Starosta Pyrzycki;https://ikerg.pyrzyce.pl/pyrzyce-egib
Starosta Powiatu Wolsztyńskiego;https://ikerg.powiatwolsztyn.pl/wolsztyn-egib
Starosta Rawicki;https://ikerg.powiatrawicki.pl/rawicz-egib
Starosta Obornicki;https://ikerg.powiatobornicki.pl/oborniki-egib
Starosta Lwówecki;https://ikerg.powiatlwowecki.pl/lwowekslaski-egib
Starosta Powiatu Krapkowickiego;https://ikerg.powiatkrapkowicki.pl/krapkowice-egib
Starosta Kluczborski;https://ikerg.powiatkluczborski.eu/kluczbork-egib
Starosta Powiatu Kępińskiego;https://ikerg.powiatkepno.pl/kepno-egib
Starosta Kamieński;https://ikerg.powiatkamienski.pl/kamien
Starosta Głubczycki;https://ikerg.powiatglubczycki.pl/cgi-bin/glubczyce-egib
Starosta Pilski;https://ikerg.powiat.pila.pl/pila-egib
Starosta Powiatu Elbląskiego;https://ikerg.powiat.elblag.pl/elblaski-egib
Starosta Będziński;https://ikerg.powiat.bedzin.pl/bedzin-egib
Starosta Powiatu Żyrardowskiego;https://ikerg.powiat-zyrardowski.pl/zyrardow-egib
Starosta Słupecki;https://ikerg.powiat-slupca.pl/slupca-egib
Starosta Ostrowski;https://ikerg.powiat-ostrowski.pl/ostrow-egib
Starosta Jarociński;https://ikerg.powiat-jarocinski.pl/jarocin-egib
Starosta Gryficki;https://ikerg.podgikgryfice.pl/gryfice-egib
Starosta Poznański;https://ikerg.podgik.poznan.pl/wms-poznanski
Prezydent Miasta Piotrków Trybunalski;https://ikerg.piotrkow.pl/piotrkow-egib
Starosta Grodziski;https://ikerg.pgw.pl/grodziskwlkp-egib
Prezydent Miasta Radomia;https://ikerg.modgik.radom.pl/radom-egib
Prezydent Miasta Konina;https://ikerg.kosit.konin.eu/konin-egib
Starosta Choszczeński;https://ikerg.geopowiatchoszczno.pl/choszczno-egib
Starosta Kędzierzyńsko-Kozielski;https://ikerg.geo.powiat.kedzierzyn-kozle.pl/kedzierzynkozle-egib
Prezydent Miasta Bielska-Białej;https://ikerg.bielsko-biala.pl/bielsko-egib
Starosta Lubański;https://iegib.powiatluban.pl/luban-egib
Starosta Zgorzelecki;https://iegib.powiat.zgorzelec.pl/zgorzelec-egib
Starosta Powiatu Tureckiego;https://iegib.powiat.turek.pl/cgi-bin/turek_egib
Starosta Namysłowski;https://iegib.namyslow.pl/cgi-bin/namyslow-egib
Starosta Powiatu Hrubieszowskiego;https://hrubieszow.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Gryfińskiego;https://gryfinski.webewid.pl:4439/iip/ows
Starosta Grójecki;https://grojec.geoportal2.pl/map/geoportal/wfs.php
Starosta Gostyniński;https://gostynin.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Gorlickiego;https://gorlicki.webewid.pl:4443/iip/ows
Starosta Górowski;https://gora.geoportal2.pl/map/geoportal/wfs.php
Starosta Golubsko-Dobrzyński;https://golubsko-dobrzynski-wms.webewid.pl/iip/ows
Starosta Goleniowski;https://goleniowski.webewid.pl:6443/iip/ows
Starosta Głogowski;https://glogow.geoportal2.pl/map/geoportal/wfs.php
Starosta Gliwicki;https://gliwicki.webewid.pl:4443/iip/ows
Prezydent Miasta Zielona Góra;https://gis.um.zielona-gora.pl/arcgis/services/zielona_gora_egib/serwer
Prezydent Miasta Lublin;https://gis.lublin.eu/opendata/wfs
Starosta Świebodziński;https://giportal2.powiat.swiebodzin.pl/swiebodzin-egib
Starosta Oleski;https://giportal.powiatoleski.pl/olesno-egib
Starosta Zielonogórski;https://giportal.powiat-zielonogorski.pl/zielonagora-egib
Prezydent Miasta Tychy;https://geowms.umtychy.pl/iip/ows
Prezydent Miasta Żory;https://geoportal.zory.pl/usluga/iip/wfs/geodezja
Prezydent Miasta Gorzowa Wielkopolskiego;https://geoportal.wms.um.gorzow.pl/map/geoportal/wfs.php
Prezydent Miasta Włocławek;https://geoportal.wloclawek.eu/map/geoportal/wfs.php
Prezydent Miasta Suwałk;https://geoportal.um.suwalki.pl/ggp
Starosta Powiatu Siemiatyckiego;https://geoportal.siemiatycze.pl/siemiatycze-egib
Starosta Bolesławiecki;https://geoportal.powiatboleslawiecki.pl/ggp
Starosta Kłodzki;https://geoportal.powiat.klodzko.pl/ggp
Starosta Powiatu Kieleckiego;https://geoportal.powiat.kielce.pl/map/geoportal/wfs.php
Starosta Dzierżoniowski;https://geoportal.pow.dzierzoniow.pl/ggp
Prezydent Miasta Jelenia Góra;https://geoportal.jeleniagora.pl/ggp
Prezydent Grudziądza;https://geoportal.grudziadz.pl/ggp
Prezydent Miasta Częstochowy;https://geoportal.czestochowa.pl/wfs2464_egib/Service.svc/get
Prezydent Miasta Dąbrowa Górnicza;https://geoportal-wms.dg.pl/iip/ows
Starosta Opolski;https://geodezja.powiatopolski.pl/ggp
Starosta Powiatu Buskiego;https://geodezja.powiat.busko.pl/map/geoportal/wfs.php
Prezydent Miasta Krakowa;https://geodezja.eco.um.krakow.pl/krakow-egib
Prezydent Miasta Rybnika;https://geodeta.gpue.rybnik.eu/rybnik-egib
Starosta Tarnogórski;https://geodane.tarnogorski.pl/iip/ows
Prezydent Miasta Świnoujście;https://geo-wms.um.swinoujscie.pl/swinoujscie
Starosta Powiatu Gdańskiego;https://gdanski-wms.webewid.pl/iip/ows
